,Year,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
69,Greater Grand Crossing,79,1178.6,393,4666.9,124,1882.2,444,5350,195,3012.5,436,5332,154,2421.8,394,4892,131,2098,482,6076.7,181,2953.2,479,6133.2,160,2660.5,511,6646.7,162,2746.2,548,7242.9,131,2264.5,530,7120.8,104,1834.2,539,7362.4,131,2358.2,490,6806.5,174,3132.3,561,7792.7,195,3510.4,546,7584.4,171,3078.3,471,6542.6,164,2952.3,516,7167.7
70,Ashburn,19,228.5,106,1183.6,39,469.1,121,1355,50,601.6,120,1347.7,59,710.1,157,1768.4,63,758.4,176,1988.3,71,854.9,183,2073.4,88,1060,219,2488.9,85,1024.1,190,2165.7,62,747.2,187,2137.9,57,687.2,200,2293.3,78,940.6,223,2564.7,87,1049.1,199,2288.7,94,1133.5,220,2530.2,85,1025,200,2300.2,91,1097.3,179,2058.7
71,Auburn Gresham,116,1147.6,459,3647.8,193,1945,496,4012,304,3122.1,526,4331.7,224,2345.1,550,4612.9,153,1633.4,564,4819.3,227,2472.2,572,4981.3,252,2801.2,594,5273.9,211,2394.7,628,5686.9,147,1704.2,620,5728.5,134,1587.7,607,5724.8,201,2434.9,637,6135,259,3137.5,711,6847.7,242,2931.6,666,6414.3,256,3101.2,581,5595.7,197,2386.4,608,5855.7
72,Beverly,12,289.7,32,710.8,17,417.8,36,816.3,19,475.6,44,1019,17,433.5,50,1183.2,15,389.8,36,870.8,21,556.3,55,1360.7,21,567.3,56,1418.1,16,441,48,1244.5,14,393.8,41,1089,11,316,42,1143.5,21,616.2,56,1563.8,22,645.5,55,1535.9,46,1349.8,53,1480,24,704.2,38,1061.2,31,909.6,42,1172.9
73,Washington Heights,69,1298.7,203,3296,80,1532.3,214,3531.9,108,2105.7,219,3675.1,113,2243,226,3856.7,76,1536.6,213,3697.9,109,2245.6,237,4187.3,104,2184,248,4460.4,109,2334,277,5073.3,65,1419.5,271,5055,71,1582.3,277,5265.2,93,2116,264,5115.3,105,2389.1,269,5212.2,124,2821.4,304,5890.3,85,1934,284,5502.8,121,2753.1,271,5250.9
74,Mount Greenwood,,,5,123.5,,,10,247.2,8,191.4,10,247.2,,,16,395.6,,,11,272.1,0,,8,197.9,5,122.1,20,495,11,269.9,7,173.3,5,123.3,12,297.2,,,26,644,,,15,371.7,5,124.6,29,718.5,6,149.5,24,594.6,8,199.4,18,446,13,323.9,32,792.9
75,Morgan Park,31,640.5,123,2284.1,49,1032.2,91,1722.2,69,1482.3,109,2103.4,50,1096,148,2912.8,51,1141.2,158,3172.7,51,1165.2,143,2930.9,58,1353.9,165,3454.1,52,1240.8,158,3379,42,1024.9,157,3431.7,41,1023.5,153,3420.5,42,1073.3,151,3453.8,53,1354.5,164,3751.1,67,1712.2,160,3659.7,66,1686.7,156,3568.2,60,1533.4,138,3156.5
76,O'Hare,,,10,342.8,,,11,378,5,160.7,,,7,224.3,6,207.1,9,287.5,5,173,,,6,208.1,7,222.4,11,382.5,,,13,453.1,7,221.2,17,593.8,,,6,210.1,5,157.1,9,315.9,6,188.5,12,421.2,6,188.5,19,666.9,7,219.9,12,421.2,11,345.6,18,631.8
77,Edgewater,47,260.3,106,673.8,48,269.4,102,654.9,81,460.8,107,694.1,84,484.4,97,635.7,52,304,75,496.7,62,367.6,83,555.4,85,511.3,77,520.8,81,494.3,59,403.3,54,334.4,89,615,54,339.4,85,593.8,67,427.5,99,699.4,95,606.2,130,918.3,102,650.9,101,713.5,120,765.7,99,699.4,158,1008.2,90,635.8
99,Unknown,4,,15,,138,,197,,120,,129,,9,,18,,891,,1483,,549,,1224,,462,,888,,2,,5,,2818,,2352,,3151,,3240,,1640,,2293,,1390,,1381,,2,,5,,16,,35,,8,,27,
88,Chicago,3241,459.6,13112,1869.1,4868,696.2,14176,2034.4,7037,1015.2,13750,1986.8,5350,778.5,14684,2136.3,5102,748.9,15915,2331.4,6133,908.2,16152,2382.5,6247,933.4,16683,2478.1,5025,757.6,15400,2303.7,7012,1066.8,17721,2669.7,7058,1083.7,18921,2870.9,6684,1035.8,17590,2688.2,8089,1253.5,18691,2856.4,7351,1139.2,17851,2728.1,6625,1026.7,16040,2451.3,7166,1110.5,16446,2513.3
